timestamp,tachometer,pwm,status
2026-03-10 05:33:12,0.00,0.00,PASS
2026-03-10 05:33:15,0.00,0.00,PASS
2026-03-10 05:33:18,0.00,0.00,PASS
2026-03-10 05:33:21,3000.00,100.00,PASS
2026-03-10 05:33:24,3000.00,100.00,PASS
2026-03-10 05:33:27,300.00,10.00,PASS
2026-03-10 05:33:30,600.00,20.00,PASS
2026-03-10 05:33:33,600.00,20.00,PASS
2026-03-10 05:33:36,0.00,0.00,PASS
2026-03-10 05:33:39,0.00,0.00,PASS
2026-03-10 05:33:42,3000.00,100.00,PASS
2026-03-10 05:33:45,3000.00,100.10,FAIL
2026-03-10 05:33:48,3000.00,100.10,FAIL
2026-03-10 05:33:51,3000.00,100.10,FAIL
2026-03-10 05:33:54,3000.00,100.10,FAIL
2026-03-10 05:33:57,3000.00,100.10,FAIL
2026-03-10 05:34:00,3000.00,100.10,FAIL
2026-03-10 05:34:03,3000.00,100.00,PASS
2026-03-10 05:34:06,3000.00,100.00,PASS
2026-03-10 05:34:09,3000.00,200.00,FAIL
2026-03-10 05:34:12,3000.00,200.00,FAIL
2026-03-10 05:34:15,3000.00,200.00,FAIL
2026-03-10 05:34:18,3000.00,200.00,FAIL
2026-03-10 05:34:22,300.00,10.00,PASS
2026-03-10 05:34:25,1500.00,50.00,PASS
2026-03-10 05:34:28,1500.00,50.00,PASS
2026-03-10 05:34:31,1368.00,45.60,PASS
2026-03-10 05:34:34,3000.00,100.10,FAIL
2026-03-10 05:34:37,3000.00,100.10,FAIL
2026-03-10 05:34:40,3000.00,100.10,FAIL
2026-03-10 05:34:43,3000.00,100.00,PASS
2026-03-10 05:34:46,3000.00,100.00,PASS
